# Sourced from: https://github.com/patrickmccallum/mimetype-io/pull/68
#
# Changes:
# - Removed: `gcode`
# - Removed file extensions crossovers from: `image/heic`, `image/heic-sequence`, `image/heif`, `image/heif-sequence`
# - This file is sorted alphabetically, except that all `application` types have been moved to the bottom of this file
#   and certain MIME types that share a file extension with another MIME type have been moved to the top of this file to
#   act as a higher preference when mapping a file extension to its MIME type.

application/xml	xml xpdl xsl
application/xhtml+xml	xht xhtml
application/json	json
application/yaml	yaml yml
application/zip	zip
application/octet-stream	a bin bpk deploy dist distz dmg dms dump elc lha lrf lzh o obj pkg so
application/mathml+xml	mathml mml
text/plain	conf def diff in ksh list log pl text txt
text/html	htm html
text/javascript	js
image/jpeg	jfif jfif-tbnl jif jpe jpeg jpg pjpg
image/heic	heic
image/heic-sequence	heics
image/heif	heif
image/heif-sequence	heifs
image/png	png
video/mp4	mp4 mp4v mpg4
audio/mp4	3g2 3ga 3gp 3gp2 3gpa 3gpp 3gpp2 m4a m4b m4p m4r m4v mp4 mp4v

audio/32kadpcm	726
audio/3gpp	3gp 3gpp
audio/3gpp2	3g2
audio/AMR	amr
audio/AMR-WB	awb
audio/ATRAC-ADVANCED-LOSSLESS	aa3 aal omg
audio/ATRAC-X	aa3 atx omg
audio/ATRAC3	aa3 at3 omg
audio/EVRC	evc
audio/EVRC-QCP	qcp
audio/EVRCB	evb
audio/EVRCNW	enw
audio/EVRCWB	evw
audio/EVS	3gp 3gpp
audio/L16	wav
audio/SMV	smv
audio/SMV-QCP	qcp
audio/aac	aac m4a
audio/aacp	aacp
audio/adpcm	adp
audio/aiff	aff aif aiff
audio/asc	asc
audio/basic	au snd
audio/dls	dls
audio/flac	flac
audio/iLBC	lbc
audio/matroska	mka
audio/mhas	mhas
audio/midi	kar mid midi rmi
audio/midi-clip	midi2
audio/mobile-xmf	mxmf
audio/mpeg	m2a m3a mp2 mp2a mp3 mpga
audio/ogg	oga ogg spx
audio/opus	opus
audio/prs.sid	psid sid
audio/s3m	s3m
audio/silk	sil
audio/sofa	sofa
audio/sp-midi	mid
audio/usac	loas xhe
audio/vnd.audiokoz	koz
audio/vnd.blockfact.facta	facta
audio/vnd.dece.audio	uva uvva
audio/vnd.digital-winds	eol
audio/vnd.dolby.mlp	mlp
audio/vnd.dra	dra
audio/vnd.dts	dts
audio/vnd.dts.hd	dtshd
audio/vnd.dts.uhd	such various
audio/vnd.dvb.file	dvb
audio/vnd.everad.plj	plj
audio/vnd.hns.audio	rm
audio/vnd.lucent.voice	lvp
audio/vnd.ms-playready.media.pya	pya
audio/vnd.nokia.mobile-xmf	mxmf
audio/vnd.nortel.vbk	vbk
audio/vnd.nuera.ecelp4800	ecelp4800
audio/vnd.nuera.ecelp7470	ecelp7470
audio/vnd.nuera.ecelp9600	ecelp9600
audio/vnd.presonus.multitrack	multitrack
audio/vnd.rip	rip
audio/vnd.sealedmedia.softseal.mpeg	s1m smp smp3
audio/vnd.wav	wav
audio/webm	weba
audio/x-aac	aac
audio/x-aiff	aif aifc aiff
audio/x-caf	caf
audio/x-flac	flac
audio/x-matroska	mka
audio/x-mpegurl	m3u
audio/x-ms-wax	wax
audio/x-ms-wma	wma
audio/x-pn-realaudio	ra ram
audio/x-pn-realaudio-plugin	rmp
audio/x-wav	wav
audio/xm	xm
chemical/x-cdx	cdx
chemical/x-cif	cif
chemical/x-cmdf	cmdf
chemical/x-cml	cml
chemical/x-csml	csml
chemical/x-xyz	xyz
font/collection	ttc
font/otf	otf
font/sfnt	font
font/ttf	ttf
font/woff	woff
font/woff2	woff2
haptics/hjif	haptic
haptics/hmpg	haptic
haptics/ivs	haptic
image/aces	exr
image/apng	apng
image/avci	avci
image/avcs	avcs
image/avif	avif
image/avif-sequence	avifs
image/bmp	bmp
image/cgm	cgm
image/dicom-rle	drle
image/dpx	dpx
image/emf	emf
image/fits	fits
image/g3fax	g3
image/gif	gif
image/hej2k	hej2
image/ief	ief
image/j2c	j2c j2k
image/jaii	jaii
image/jais	jais
image/jls	jls
image/jp2	jp2 jpg2
image/jph	jph
image/jphc	jhc
image/jpm	jpgm jpm
image/jpx	jpf
image/jxl	jxl
image/jxr	jxr
image/jxrA	jxra
image/jxrS	jxrs
image/jxs	jxs
image/jxsc	jxsc
image/jxsi	jxsi
image/jxss	jxss
image/ktx	ktx
image/ktx2	ktx2
image/pjpeg	jfi jfif jfif-tbnl jif jpe jpeg jpg pjpg
image/prs.btif	btif
image/prs.pti	pti
image/sgi	sgi
image/svg+xml	svg svgz
image/t38	t38
image/tiff	tif tiff
image/tiff-fx	tfx
image/vnd.adobe.photoshop	psd
image/vnd.airzip.accelerator.azv	azv
image/vnd.blockfact.facti	facti
image/vnd.clip	clip
image/vnd.dece.graphic	uvg uvi uvvg uvvi
image/vnd.djvu	djv djvu
image/vnd.dvb.subtitle	sub
image/vnd.dwg	dwg
image/vnd.dxf	dxf
image/vnd.fastbidsheet	fbs
image/vnd.fpx	fpx
image/vnd.fst	fst
image/vnd.fujixerox.edmics-mmr	mmr
image/vnd.fujixerox.edmics-rlc	rlc
image/vnd.globalgraphics.pgb	pgb
image/vnd.microsoft.icon	ico
image/vnd.mozilla.apng	apng png
image/vnd.ms-modi	mdi
image/vnd.ms-photo	wdp
image/vnd.net-fpx	npx
image/vnd.pco.b16	b16
image/vnd.radiance	hdr pic rgbe xyze
image/vnd.sealed.png	s1n spn spng
image/vnd.sealedmedia.softseal.gif	s1g sgi sgif
image/vnd.sealedmedia.softseal.jpg	s1j sjp sjpg
image/vnd.svf	dxf
image/vnd.tencent.tap	tap
image/vnd.valve.source.texture	vtf
image/vnd.wap.wbmp	wbmp
image/vnd.xiff	xif
image/vnd.zbrush.pcx	pcx
image/webp	webp
image/wmf	wmf
image/x-3ds	3ds
image/x-adobe-dng	dng
image/x-canon-cr2	cr2
image/x-canon-crw	crw
image/x-cmu-raster	ras
image/x-cmx	cmx
image/x-epson-erf	erf
image/x-freehand	fh fh4 fh5 fh7 fhc
image/x-fuji-raf	raf
image/x-icns	icns
image/x-icon	ico
image/x-kodak-dcr	dcr
image/x-kodak-k25	k25
image/x-kodak-kdc	kdc
image/x-minolta-mrw	mrw
image/x-mrsid-image	sid
image/x-nikon-nef	nef
image/x-olympus-orf	orf
image/x-panasonic-raw	raw rw2 rwl
image/x-pcx	pcx
image/x-pentax-pef	pef ptx
image/x-pict	pct pic
image/x-portable-anymap	pnm
image/x-portable-bitmap	pbm
image/x-portable-graymap	pgm
image/x-portable-pixmap	ppm
image/x-rgb	rgb
image/x-sigma-x3f	x3f
image/x-sony-arw	arw
image/x-sony-sr2	sr2
image/x-sony-srf	srf
image/x-tga	tga
image/x-xbitmap	xbm
image/x-xpixmap	xpm
image/x-xwindowdump	xwd
message/disposition-notification	disposition-notification
message/global	u8msg
message/global-delivery-status	u8dsn
message/global-disposition-notification	u8mdn
message/global-headers	u8hdr
message/imdn+xml	cl xml
message/rfc822	eml mht mhtml mime nws
message/vnd.wfa.wsc	wsc
model/3mf	3mf
model/JT	jt
model/gltf+json	gltf
model/gltf-binary	glb
model/iges	iges igs
model/mesh	mesh msh silo
model/mtl	mtl
model/obj	obj
model/prc	prc
model/step	210 p21 step stp stpnc
model/step+xml	stpx
model/step+zip	stpz
model/step-xml+zip	stpxz
model/stl	stl
model/u3d	u3d
model/vnd.bary	bary
model/vnd.cld	cld
model/vnd.collada+xml	dae
model/vnd.dwf	dwf
model/vnd.flatland.3dml	3dml
model/vnd.gdl	gdl
model/vnd.gs-gdl	dor gdl gsm ism lmp msm rsm win
model/vnd.gtw	gtw
model/vnd.moml+xml	xml
model/vnd.mts	mts
model/vnd.opengex	ogex
model/vnd.parasolid.transmit.binary	x_b xmt_bin
model/vnd.parasolid.transmit.text	x_t xmt_txt
model/vnd.pytha.pyox	pyo pyox
model/vnd.sap.vds	vds
model/vnd.usda	usda
